id,symptom,topology,show_outputs,expected_fault,osi_layer,concept,severity,next_command,fix_steps
1,PC1 in VLAN 10 cannot ping PC2 in VLAN 10 connected to another switch. Pings time out.,"PC1 (192.168.10.10/24) -> SwitchA (Fa0/1 in VLAN 10), SwitchA (Fa0/24) -> SwitchB (Fa0/24), SwitchB (Fa0/1 in VLAN 10) -> PC2 (192.168.10.20/24).","SwitchA# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      10

SwitchB# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      on           802.1q         trunking      20
",Mismatched Native VLAN on trunk link between SwitchA and SwitchB (Native VLAN 10 vs Native VLAN 20). This causes VLAN leaking and drop of tagged/untagged traffic.,L2,VLAN,High,show interfaces trunk,"Configure Native VLAN 10 on SwitchB's Fa0/24: enter interface configuration mode, type 'switchport trunk native vlan 10'."
2,PC1 connected to SwitchA Fa0/1 cannot reach any device on VLAN 10. Port light is green but IP configuration fails.,PC1 (192.168.10.15/24) -> SwitchA (Fa0/1 in VLAN 10). Default Gateway is Router (192.168.10.1).,"SwitchA# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/2, Fa0/3, Fa0/4, Fa0/24
100  VLAN0100                         active

SwitchA# show interfaces Fa0/1 switchport
Name: Fa0/1
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Access VLAN: 10 (Inactive)
Operational Access VLAN: 10 (Inactive)
","VLAN 10 is configured on the access interface Fa0/1, but VLAN 10 does not exist in the switch's VLAN database (VLAN is inactive).",L2,VLAN,High,show vlan brief,Create and activate VLAN 10 on SwitchA: 'vlan 10' then 'name VLAN10' in global configuration mode.
3,"The trunk link between SwitchA and SwitchB is down, and VLANs are not communicating between them.",SwitchA (Fa0/24) connected to SwitchB (Fa0/24). Both should be trunking.,"SwitchA# show interfaces Fa0/24 switchport
Name: Fa0/24
Administrative Mode: trunk
Operational Mode: trunk

SwitchB# show interfaces Fa0/24 switchport
Name: Fa0/24
Administrative Mode: static access
Operational Mode: static access
Administrative Access VLAN: 1 (default)
",Switchport mode mismatch on the link connecting SwitchA and SwitchB. SwitchA is set to 'trunk' while SwitchB is configured as 'static access'.,L2,VLAN,Medium,show interfaces switchport,Change SwitchB's Fa0/24 mode to trunk: enter 'interface Fa0/24' and type 'switchport mode trunk'.
4,PC1 has static IP but cannot ping default gateway or access any resource outside its local subnet.,PC1 (192.168.1.50/24) -> Switch -> Router G0/0 (192.168.1.1/24).,"PC1> ipconfig
FastEthernet0 Connection:
   IP Address. . . . . . . . . . . : 192.168.1.50
   Subnet Mask . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . : 192.168.2.1

Router# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.1.1     YES manual up                    up
","Default gateway IP mismatch. The default gateway on PC1 is set to 192.168.2.1, but the Router interface's actual IP is 192.168.1.1.",L3,Gateway,High,ipconfig on PC1 and show ip interface brief on Router,Change the default gateway configuration on PC1 to 192.168.1.1.
5,All hosts in VLAN 10 fail to ping their default gateway and cannot access the Internet.,VLAN 10 hosts (192.168.10.0/24) -> SwitchA -> Router G0/0.10 (192.168.10.1) router-on-a-stick.,"Router# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/0.10  192.168.10.1    YES manual administratively down down
GigabitEthernet0/0.20  192.168.20.1    YES manual up                    up
",Router subinterface GigabitEthernet0/0.10 is administratively down (not enabled with 'no shutdown').,L1,Gateway,High,show ip interface brief,"Enable subinterface G0/0.10 on Router: interface GigabitEthernet0/0.10, no shutdown."
6,PC1 on VLAN 10 is configured to receive IP via DHCP but gets a 169.254.x.x autoconfiguration IP.,PC1 (VLAN 10) -> Switch -> Router (G0/0.10 is 192.168.10.1) -> DHCP Server (10.0.0.5) in Management subnet.,"PC1> ipconfig
FastEthernet0 Connection:
   IP Address. . . . . . . . . . . : 169.254.22.45
   Subnet Mask . . . . . . . . . . : 255.255.0.0
   Default Gateway . . . . . . . . : 0.0.0.0

Router# show running-config interface gigabitethernet 0/0.10
Building configuration...

Current configuration : 110 bytes
!
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
end
",Missing DHCP helper address on the Router's VLAN 10 gateway interface. DHCP broadcast packets cannot traverse subnets without 'ip helper-address'.,L3,DHCP,High,show running-config interface gigabitethernet 0/0.10,Add DHCP helper address: 'ip helper-address 10.0.0.5' under Router interface GigabitEthernet0/0.10.
7,DHCP clients on VLAN 10 receive IP addresses but cannot communicate with their gateway or external networks.,Clients (VLAN 10) -> Router subinterface G0/0.10 (192.168.10.1/24) running DHCP server.,"PC1> ipconfig
   IP Address. . . . . . . . . . . : 192.168.100.5
   Subnet Mask . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . : 192.168.10.1

Router# show running-config
ip dhcp pool VLAN10_POOL
 network 192.168.100.0 255.255.255.0
 default-router 192.168.10.1
!
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
","DHCP pool network subnet conflict. The DHCP pool is configured for network 192.168.100.0/24, but the gateway router IP is 192.168.10.1 (not in the pool's network subnet).",L3,DHCP,High,show running-config | section ip dhcp,Correct the DHCP pool network to '192.168.10.0 255.255.255.0' or update the router interface to match the subnet.
8,PC1 can ping external IP address 8.8.8.8 but fails to resolve domain names like www.google.com.,PC1 (192.168.1.15) -> Switch -> Router -> Internet. DNS Server is at 192.168.1.200.,"PC1> ipconfig /all
   IP Address. . . . . . . . . . . : 192.168.1.15
   Subnet Mask . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . : 192.168.1.1
   DNS Server. . . . . . . . . . . : 192.168.1.250

Router# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     192.168.1.1     YES manual up                    up
GigabitEthernet0/1     192.168.1.200   YES manual up                    up
","DNS Server IP address misconfigured on client. PC1 uses 192.168.1.250, but the active DNS server interface is 192.168.1.200.",L7,DNS,Medium,ipconfig /all,Reconfigure PC1 DNS server setting to 192.168.1.200 (or correct DNS distribution on DHCP pool).
9,Clients receive host-name resolution failures when trying to reach 'intranet.local'.,Clients -> Switch -> Router -> DNS Server (10.1.1.100).,"DNS_Server# show running-config
ip dns server
ip host routerA.cisco.com 10.1.1.1
ip host routerB.cisco.com 10.1.1.2
ip host fileserver.local 10.1.1.50

Client1> nslookup intranet.local
*** [10.1.1.100] can't find intranet.local: Non-existent domain
",Missing DNS Host A-record on the DNS Server for 'intranet.local'.,L7,DNS,Low,nslookup domain_name,Add DNS host record on DNS server: 'ip host intranet.local 10.1.1.60'.
10,OSPF neighbor relationships fail to establish and console logs show neighbor flapping.,RouterA (Gi0/0: 10.1.1.1/30) connected directly to RouterB (Gi0/0: 10.1.1.2/30).,"RouterA# show ip ospf
 Routing Process ""ospf 1"" with ID 1.1.1.1
RouterB# show ip ospf
 Routing Process ""ospf 1"" with ID 1.1.1.1

RouterA# show log
%OSPF-4-DUP_RTRID: Duplicate router ID 1.1.1.1 detected on interface GigabitEthernet0/0
","OSPF duplicate router ID. Both RouterA and RouterB have their OSPF router ID configured as 1.1.1.1, preventing neighbor establishment.",L3,Routing,High,show ip ospf,"Change the OSPF router ID on RouterB: 'router ospf 1', 'router-id 2.2.2.2', then 'clear ip ospf process'."
